INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 6'000'000, num points: 1'000'000
INFO(chunker_countsort_laszip.cpp:176): counting cloud8.las, first point: 9'000'000, num points: 362'825
INFO(indexer.cpp:1656): start indexing chunk r064
filesize: 118'775'755
min: 801393.27439225698, 3905811.4050190691, 22.031047589945167
max: 801839.15827779518, 3906257.2889046073, 467.91493312810701
INFO(indexer.cpp:1656): start indexing chunk r062
filesize: 241'560'935
min: 800947.39050671889, 3906257.2889046073, 22.031047589945167
max: 801393.27439225698, 3906703.1727901455, 467.91493312810701
INFO(indexer.cpp:1656): start indexing chunk r02
filesize: 330'707'545
min: 800055.6227356426, 3905811.4050190691, 22.031047589945167
max: 800947.39050671889, 3906703.1727901455, 913.79881866626886
INFO(indexer.cpp:1656): start indexing chunk r0660
filesize: 65'207'450
min: 801393.27439225698, 3906257.2889046073, 22.031047589945167
max: 801616.21633502608, 3906480.2308473764, 244.97299035902608
INFO(indexer.cpp:1656): start indexing chunk r0662
filesize: 225'096'690
min: 801393.27439225698, 3906480.2308473764, 22.031047589945167
max: 801616.21633502608, 3906703.1727901455, 244.97299035902608
INFO(indexer.cpp:1656): start indexing chunk r0664
filesize: 146'350'785
min: 801616.21633502608, 3906257.2889046073, 22.031047589945167
max: 801839.15827779518, 3906480.2308473764, 244.97299035902608
INFO(indexer.cpp:1656): start indexing chunk r0666
filesize: 27'087'060
min: 801616.21633502608, 3906480.2308473764, 22.031047589945167
max: 801839.15827779518, 3906703.1727901455, 244.97299035902608
INFO(indexer.cpp:1656): start indexing chunk r2000
filesize: 158'310'985
min: 800055.6227356426, 3906703.1727901455, 22.031047589945167
max: 800278.5646784117, 3906926.1147329146, 244.97299035902608
INFO(indexer.cpp:1656): start indexing chunk r2002
filesize: 159'538'330
min: 800055.6227356426, 3906926.1147329146, 22.031047589945167
max: 800278.5646784117, 3907149.0566756837, 244.97299035902608
INFO(indexer.cpp:1656): start indexing chunk r2006
filesize: 297'519'180
